autor,pintura,año,tipo,dimension,url,http://dbpedia.org/ontology/thumbnail
Eduardo X. Arroyo,S/T,1995,Tinta,9.5x17.5cm,http://www.pinteres.com/imagen31,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,Con otra memoria,1995,Tinta,6x32cm,http://www.pinteres.com/imagen32,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,Quito,1995,Tinta,10x35cm,http://www.pinteres.com/imagen33,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,Pirámide de la Luna,1998,Tinta y acuarela,110 x75cm,http://www.pinteres.com/imagen34,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1996,Acuarela,12x42cm,http://www.pinteres.com/imagen35,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1996,Acuarela,9x42cm,http://www.pinteres.com/imagen36,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1996,Aguada,19x49cm,http://www.pinteres.com/imagen37,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1996,Acuarela,75x104cm,http://www.pinteres.com/imagen38,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,Atman,1996,Acuarela,64x103cm,http://www.pinteres.com/imagen39,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1996,Tinta,105x75cm,http://www.pinteres.com/imagen40,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1996,Tinta,40x24cm,http://www.pinteres.com/imagen41,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,2004,Tinta y acrílico,74x56cm,http://www.pinteres.com/imagen42,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,Hondo silencio,1996,Acuarela,75x104cm,http://www.pinteres.com/imagen43,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1997,Acuarela,18x33cm,http://www.pinteres.com/imagen44,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,Andares y amares,1997,Acuarela,105x75cm,http://www.pinteres.com/imagen45,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,Sidartha,1999,Aguada,100x73cm,http://www.pinteres.com/imagen46,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,Punto de ruptura,1997,Tinta,36x50cm,http://www.pinteres.com/imagen47,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,Desde hace siglos,1997,Tinta y acuarela,110x75cm,http://www.pinteres.com/imagen48,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,Roraima,1999,Acuarela,105x75cm,http://www.pinteres.com/imagen49,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1998,"Acrílico, tinta y acuarela",75x110cm,http://www.pinteres.com/imagen50,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,Baglady,1999,Acuarela,105x75cm,http://www.pinteres.com/imagen51,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,Espíritu que sopla,1999,Acuarela,97x75cm,http://www.pinteres.com/imagen52,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,Mindo lindo,1999,Óleo y acuarela,18x31cm,http://www.pinteres.com/imagen53,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1999,Tinta,21x40cm,http://www.pinteres.com/imagen54,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,2000,"Acuarela, tinta",64x103cm,http://www.pinteres.com/imagen55,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,Documento de época,2000,"Óleo, tinta, acrílico y acuarela",104x75cm,http://www.pinteres.com/imagen56,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,Horizontes del pasado,2000,Acuarela,63x100cm,http://www.pinteres.com/imagen57,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,Homenaje a Claude Monet,2000,Acrílico y acuarela,80x110cm,http://www.pinteres.com/imagen58,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,2001,Acuarela,74x50cm,http://www.pinteres.com/imagen59,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,2003,Tinta,35x20cm,http://www.pinteres.com/imagen60,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,2003,TInta,20x35cm,http://www.pinteres.com/imagen61,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,Cuerpo y alma,2002,"Óleo, tinta y acrílico",105x76cm,http://www.pinteres.com/imagen62,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,Flores,2005,Acrílico,54x57cm,http://www.pinteres.com/imagen63,http://www.pinteres.com/imagen1.jpg
